"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","162.8","","","","1"
"2021-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","164.1","","","","1"
"2022-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","166.7","","","","1"
"2022-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","168.8","","","","1"
"2022-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","170.5","","","","1"
"2022-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","171.6","","","","1"
"2022-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","173.4","","","","1"
"2022-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","173.2","","","","1"
"2022-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","174.6","","","","1"
"2022-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","175.9","","","","1"
"2022-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","176.9","","","","1"
"2022-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","176.4","","","","1"
"2022-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","178.8","","","","1"
"2022-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","180.4","","","","1"
"2023-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","183.5","","","","1"
"2023-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","184.6","","","","1"
"2023-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","185.2","","","","1"
"2023-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","185.3","","","","1"
"2023-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","187.0","","","","1"
"2023-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","186.5","","","","1"
"2023-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","187.2","","","","1"
"2023-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","187.0","","","","1"
"2023-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","186.7","","","","1"
"2023-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","186.5","","","","1"
"2023-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","187.9","","","","1"
"2023-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","187.8","","","","1"
"2024-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","189.5","","","","1"
"2024-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","189.3","","","","1"
"2024-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","189.4","","","","1"
"2024-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","189.2","","","","1"
"2024-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","190.7","","","","1"
"2024-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","192.3","","","","1"
"2024-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","192.7","","","","1"
"2024-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","192.4","","","","1"
"2024-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","192.5","","","","1"
"2024-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","193.1","","","","1"
"2024-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","193.9","","","","1"
"2024-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","188.3","","","","1"
"2025-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","186.1","","","","1"
"2025-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","190.8","","","","1"
"2025-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","195.3","","","","1"
"2025-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","196.3","","","","1"
"2025-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","197.5","","","","1"
"2025-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","198.1","","","","1"
"2025-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","199.3","","","","1"
"2025-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","199.3","","","","1"
"2025-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","199.9","","","","1"
"2025-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","199.5","","","","1"
"2025-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","201.9","","","","1"
"2025-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","202.4","","","","1"
"2019-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","145.0","","","","1"
"2019-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","145.5","","","","1"
"2019-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","145.8","","","","1"
"2019-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","146.5","","","","1"
"2019-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","146.6","","","","1"
"2019-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","146.8","","","","1"
"2019-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","147.3","","","","1"
"2019-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","147.4","","","","1"
"2019-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","147.3","","","","1"
"2019-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.3","","","","1"
"2019-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.6","","","","1"
"2019-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.9","","","","1"
"2020-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.0","","","","1"
"2020-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.3","","","","1"
"2020-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.3","","","","1"
"2020-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.4","","","","1"
"2020-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.0","","","","1"
"2020-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.7","","","","1"
"2020-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.5","","","","1"
"2020-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","150.2","","","","1"
"2020-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","150.5","","","","1"
"2020-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","152.2","","","","1"
"2020-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","152.4","","","","1"
"2020-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","152.3","","","","1"
"2021-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","151.1","","","","1"
"2021-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","151.9","","","","1"
"2021-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","153.5","","","","1"
"2021-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","154.6","","","","1"
"2021-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","155.7","","","","1"
"2021-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","156.9","","","","1"
"2021-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","157.2","","","","1"
"2021-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","157.4","","","","1"
"2021-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","158.4","","","","1"
"2021-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","159.8","","","","1"
"2021-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","160.5","","","","1"
"2021-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","161.5","","","","1"
"2022-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","161.8","","","","1"
"2022-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","162.8","","","","1"
"2022-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","164.8","","","","1"
"2022-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","166.4","","","","1"
"2022-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","167.2","","","","1"
"2022-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","167.4","","","","1"
"2022-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","168.8","","","","1"
"2022-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","168.6","","","","1"
"2022-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","169.4","","","","1"
"2022-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","170.7","","","","1"
"2022-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","171.6","","","","1"
"2022-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","172.0","","","","1"
"2023-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","172.8","","","","1"
"2023-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","173.1","","","","1"
"2023-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","173.8","","","","1"
"2023-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","174.0","","","","1"
"2023-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","174.6","","","","1"
"2023-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","175.4","","","","1"
"2023-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","176.3","","","","1"
"2023-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","177.2","","","","1"
"2023-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","177.7","","","","1"
"2023-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","179.8","","","","1"
"2023-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","180.2","","","","1"
"2023-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","181.3","","","","1"
"2024-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","181.8","","","","1"
"2024-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","182.5","","","","1"
"2024-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","183.4","","","","1"
"2024-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","183.7","","","","1"
"2024-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","185.2","","","","1"
"2024-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","185.5","","","","1"
"2024-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","185.9","","","","1"
"2024-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","186.4","","","","1"
"2024-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","186.6","","","","1"
"2024-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","187.7","","","","1"
"2024-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","188.1","","","","1"
"2024-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","188.8","","","","1"
"2025-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.4","","","","1"
"2025-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.8","","","","1"
"2025-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.7","","","","1"
"2025-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.3","","","","1"
"2025-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.1","","","","1"
"2025-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","189.3","","","","1"
